LSOA21CD,schools,parks,playgrounds,pitches,score,score_norm
E01006616,1.0,3.0,0.0,6.0,3.0,0.75
E01006617,2.0,2.0,0.0,10.0,3.0,0.75
E01006618,3.0,2.0,1.0,2.0,4.0,1.0
E01006619,4.0,2.0,0.0,10.0,3.0,0.75
E01006620,4.0,1.0,0.0,2.0,3.0,0.75
E01006621,5.0,2.0,0.0,19.0,3.0,0.75
E01006622,4.0,0.0,0.0,2.0,2.0,0.5
E01006623,1.0,1.0,1.0,0.0,3.0,0.75
E01006624,0.0,3.0,0.0,0.0,1.0,0.25
E01006625,2.0,3.0,2.0,1.0,4.0,1.0
E01006626,2.0,2.0,0.0,3.0,3.0,0.75
E01006627,1.0,2.0,0.0,3.0,3.0,0.75
E01006628,4.0,3.0,0.0,2.0,3.0,0.75
E01006629,3.0,2.0,0.0,0.0,2.0,0.5
E01006630,1.0,2.0,0.0,2.0,3.0,0.75
E01006632,4.0,2.0,5.0,2.0,4.0,1.0
E01006633,5.0,3.0,6.0,3.0,4.0,1.0
E01006637,1.0,0.0,0.0,0.0,1.0,0.25
E01006638,2.0,0.0,0.0,1.0,2.0,0.5
E01006639,3.0,0.0,0.0,0.0,1.0,0.25
E01006640,3.0,1.0,0.0,4.0,3.0,0.75
E01006641,1.0,0.0,0.0,1.0,2.0,0.5
E01006642,2.0,1.0,2.0,1.0,4.0,1.0
E01006643,2.0,0.0,3.0,0.0,2.0,0.5
E01006644,1.0,4.0,0.0,0.0,2.0,0.5
E01006645,2.0,3.0,0.0,0.0,2.0,0.5
E01006646,3.0,7.0,2.0,3.0,4.0,1.0
E01006647,5.0,4.0,0.0,2.0,3.0,0.75
E01006648,2.0,4.0,2.0,7.0,4.0,1.0
E01006651,1.0,0.0,1.0,0.0,2.0,0.5
E01006652,2.0,0.0,1.0,0.0,2.0,0.5
E01006653,3.0,1.0,1.0,2.0,4.0,1.0
E01006654,1.0,1.0,1.0,0.0,3.0,0.75
E01006655,2.0,1.0,1.0,2.0,4.0,1.0
E01006656,1.0,2.0,0.0,1.0,3.0,0.75
E01006657,3.0,2.0,0.0,0.0,2.0,0.5
E01006658,2.0,3.0,0.0,0.0,2.0,0.5
E01006659,3.0,2.0,0.0,0.0,2.0,0.5
E01006660,2.0,3.0,0.0,0.0,2.0,0.5
E01006661,2.0,0.0,0.0,0.0,1.0,0.25
E01006662,2.0,0.0,0.0,1.0,2.0,0.5
E01006663,1.0,0.0,0.0,0.0,1.0,0.25
E01006664,2.0,0.0,0.0,1.0,2.0,0.5
E01006665,0.0,1.0,0.0,1.0,2.0,0.5
E01006666,1.0,0.0,0.0,1.0,2.0,0.5
E01006667,1.0,1.0,0.0,0.0,2.0,0.5
E01006668,1.0,1.0,0.0,1.0,3.0,0.75
E01006669,1.0,2.0,0.0,0.0,2.0,0.5
E01006670,1.0,1.0,0.0,1.0,3.0,0.75
E01006671,1.0,4.0,0.0,0.0,2.0,0.5
E01006672,2.0,1.0,1.0,0.0,3.0,0.75
E01006673,3.0,5.0,1.0,6.0,4.0,1.0
E01006674,2.0,2.0,0.0,1.0,3.0,0.75
E01006675,3.0,1.0,3.0,3.0,4.0,1.0
E01006676,3.0,2.0,1.0,5.0,4.0,1.0
E01006677,2.0,1.0,3.0,6.0,4.0,1.0
E01006678,3.0,1.0,4.0,6.0,4.0,1.0
E01006679,3.0,4.0,0.0,3.0,3.0,0.75
E01006680,3.0,0.0,0.0,4.0,2.0,0.5
E01006681,3.0,0.0,0.0,0.0,1.0,0.25
E01006682,0.0,1.0,0.0,10.0,2.0,0.5
E01006683,3.0,0.0,0.0,0.0,1.0,0.25
E01006684,0.0,1.0,3.0,10.0,3.0,0.75
E01006685,2.0,1.0,0.0,2.0,3.0,0.75
E01006686,4.0,1.0,0.0,0.0,2.0,0.5
E01006687,0.0,3.0,0.0,1.0,2.0,0.5
E01006688,4.0,3.0,0.0,1.0,3.0,0.75
E01006689,0.0,0.0,0.0,14.0,1.0,0.25
E01006690,2.0,3.0,0.0,8.0,3.0,0.75
E01006691,1.0,3.0,2.0,9.0,4.0,1.0
E01006692,3.0,3.0,1.0,9.0,4.0,1.0
E01006693,4.0,4.0,0.0,3.0,3.0,0.75
E01006694,3.0,4.0,0.0,2.0,3.0,0.75
E01006695,1.0,2.0,2.0,3.0,4.0,1.0
E01006696,3.0,4.0,2.0,7.0,4.0,1.0
E01006697,3.0,3.0,2.0,0.0,3.0,0.75
E01006698,5.0,3.0,1.0,0.0,3.0,0.75
E01006699,3.0,1.0,0.0,2.0,3.0,0.75
E01006700,4.0,1.0,0.0,2.0,3.0,0.75
E01006701,3.0,3.0,1.0,3.0,4.0,1.0
E01006702,2.0,4.0,1.0,2.0,4.0,1.0
E01006703,2.0,4.0,1.0,1.0,4.0,1.0
E01006705,6.0,3.0,1.0,1.0,4.0,1.0
E01006706,2.0,0.0,1.0,3.0,3.0,0.75
E01006707,2.0,1.0,2.0,4.0,4.0,1.0
E01006708,2.0,0.0,1.0,3.0,3.0,0.75
E01006709,1.0,1.0,1.0,3.0,4.0,1.0
E01006710,0.0,1.0,1.0,1.0,3.0,0.75
E01006711,2.0,0.0,0.0,2.0,2.0,0.5
E01006712,4.0,1.0,3.0,3.0,4.0,1.0
E01006713,7.0,1.0,5.0,5.0,4.0,1.0
E01006716,2.0,2.0,0.0,3.0,3.0,0.75
E01006717,4.0,1.0,0.0,9.0,3.0,0.75
E01006718,2.0,1.0,0.0,0.0,2.0,0.5
E01006719,4.0,1.0,2.0,14.0,4.0,1.0
E01006721,3.0,1.0,0.0,12.0,3.0,0.75
E01006722,4.0,1.0,0.0,1.0,3.0,0.75
E01006723,2.0,1.0,0.0,10.0,3.0,0.75
E01006724,2.0,2.0,1.0,13.0,4.0,1.0
E01006725,1.0,2.0,0.0,3.0,3.0,0.75
E01006726,3.0,1.0,0.0,1.0,3.0,0.75
E01006727,2.0,3.0,0.0,3.0,3.0,0.75
E01006728,4.0,1.0,0.0,4.0,3.0,0.75
E01006729,1.0,1.0,0.0,0.0,2.0,0.5
E01006730,3.0,0.0,0.0,0.0,1.0,0.25
E01006731,4.0,0.0,1.0,0.0,2.0,0.5
E01006732,1.0,1.0,0.0,0.0,2.0,0.5
E01006734,3.0,0.0,0.0,2.0,2.0,0.5
E01006735,3.0,1.0,0.0,1.0,3.0,0.75
E01006736,2.0,0.0,0.0,0.0,1.0,0.25
E01006737,3.0,0.0,0.0,0.0,1.0,0.25
E01006738,2.0,1.0,1.0,4.0,4.0,1.0
E01006739,1.0,1.0,1.0,11.0,4.0,1.0
E01006740,2.0,1.0,1.0,5.0,4.0,1.0
E01006741,2.0,2.0,2.0,2.0,4.0,1.0
E01006742,3.0,1.0,1.0,4.0,4.0,1.0
E01006743,4.0,1.0,0.0,1.0,3.0,0.75
E01006744,4.0,2.0,1.0,5.0,4.0,1.0
E01006745,3.0,2.0,1.0,6.0,4.0,1.0
E01006746,5.0,7.0,2.0,10.0,4.0,1.0
E01006747,2.0,4.0,0.0,4.0,3.0,0.75
E01006748,3.0,5.0,2.0,6.0,4.0,1.0
E01006751,4.0,3.0,1.0,0.0,3.0,0.75
E01006753,1.0,1.0,1.0,2.0,4.0,1.0
E01006754,1.0,0.0,2.0,2.0,3.0,0.75
E01006755,2.0,0.0,2.0,1.0,3.0,0.75
E01006756,1.0,0.0,1.0,0.0,2.0,0.5
E01006757,1.0,0.0,1.0,0.0,2.0,0.5
E01006758,2.0,2.0,3.0,2.0,4.0,1.0
E01006759,1.0,2.0,3.0,7.0,4.0,1.0
E01006760,1.0,1.0,0.0,4.0,3.0,0.75
E01006761,4.0,3.0,0.0,0.0,2.0,0.5
E01006762,2.0,0.0,0.0,20.0,2.0,0.5
E01006763,1.0,1.0,0.0,7.0,3.0,0.75
E01006764,4.0,3.0,0.0,0.0,2.0,0.5
E01006765,5.0,3.0,0.0,2.0,3.0,0.75
E01006766,4.0,0.0,0.0,12.0,2.0,0.5
E01006767,2.0,1.0,0.0,11.0,3.0,0.75
E01006768,4.0,1.0,0.0,6.0,3.0,0.75
E01006769,2.0,3.0,0.0,2.0,3.0,0.75
E01006770,2.0,1.0,0.0,3.0,3.0,0.75
